step,epoch,lr,loss,grad_norm_global,grad_norm_encoder.blocks.0,grad_norm_encoder.blocks.1,grad_norm_encoder.blocks.2,grad_norm_encoder.blocks.3,grad_norm_encoder.blocks.4,grad_norm_encoder.blocks.5,grad_norm_encoder.blocks.6,grad_norm_encoder.blocks.7,grad_norm_encoder.blocks.8,grad_norm_encoder.blocks.9,grad_norm_encoder.blocks.10,grad_norm_encoder.blocks.11
120,0,2.375726401805878e-06,3.1136865615844727,7.0445093925758275,1.0037961350772457,0.5693994023597527,0.5759995073433964,0.6551050609047768,0.53384632084629,0.5834342836268506,0.5224789232192503,0.5634596099531577,0.5353980446824216,0.48071607553521367,0.4437649695493063,0.449236356332544
130,0,2.375726401805878e-06,3.319014549255371,6.584177951917134,1.0558812168013445,0.5996004881024548,0.5666183161105481,0.7071155762458539,0.5716388686496278,0.7032140351081008,0.5188913282509043,0.5275102207038666,0.47941190663826533,0.4555273924291003,0.3973604666232681,0.4584503355389682
140,0,2.375726401805878e-06,3.2614173889160156,8.153068377522963,1.4608535857248859,0.7281324125409078,0.7370802426300896,0.8481148316691451,0.6963013655778886,0.7655185455649608,0.6089214965322802,0.6107848721584003,0.5679431736388196,0.5047681377688142,0.4574002729334673,0.4978737171708716
150,0,2.375726401805878e-06,3.517284393310547,8.59953445125408,1.678763031103575,0.9704073392423448,0.9842877967152207,1.1483894967876294,0.905750535451864,1.0014723346977326,0.7455190071606081,0.7045439192857864,0.6439107661896417,0.5403679877561974,0.49963041273302805,0.5076425725121478
160,0,2.375726401805878e-06,3.289836883544922,6.388689585913149,1.136670400445224,0.8030205784218049,0.768760794456942,0.861310325184743,0.7222000336746317,0.8017550140670265,0.6615914173751919,0.6894125963967389,0.6139090683905685,0.5067344790480938,0.439224732642475,0.4557426452640311
170,0,2.375726401805878e-06,2.898958206176758,6.5960223924848815,1.476189277217145,0.7366424652507466,0.7485241267821904,0.8674717316774434,0.7009741995965912,0.8137794664438915,0.5846657976821258,0.5240334818421808,0.528913218844746,0.4524524596247637,0.4146544203531602,0.4237400800005491
180,0,2.375726401805878e-06,3.3429741859436035,7.717071952876284,1.6347315438375738,0.9769990441953538,0.9469662396222894,1.1385479618116183,0.9028865099682215,0.9366655202485369,0.6782687697103268,0.6954941657653192,0.6716979111937526,0.5633390269527988,0.48110550135889824,0.46475980394626265
190,0,2.375726401805878e-06,3.1818244457244873,7.592223232566246,1.845227061904643,1.106718876140079,1.0162802233397779,1.1715270412699026,1.0193336640293855,1.0753860697854833,0.8025016258216119,0.7799414584081522,0.7271175947266335,0.6071412705760381,0.5223885971235622,0.49130580770722365
200,0,2.375726401805878e-06,3.8221590518951416,7.831825320406683,1.9528424700371654,1.3144598521706814,1.4270791227475161,1.6185394056938476,1.118182344812955,1.0018744243455284,0.8231975432059724,0.8065208501757508,0.750537869323754,0.6201479679591619,0.5390894657403197,0.5223881808324563
210,0,2.375726401805878e-06,3.1868972778320312,8.235232061328144,2.0359662228954583,1.0878286298283038,1.1340000916262485,1.358342178784562,1.0270226808911262,0.9839789427060578,0.8128856908697105,0.7798908445590104,0.6942021900656453,0.6191886668242665,0.5325231254497343,0.49181008500364615
220,0,2.375726401805878e-06,3.1134891510009766,7.96528210810466,2.717805999613651,1.5251604178297338,1.6350307941010114,1.837799882510921,1.379642968381214,1.2481212407138536,0.877492723788761,0.8076526707187217,0.6732923824624222,0.5500925807842115,0.442466811013941,0.4315477896110473
230,0,2.375726401805878e-06,3.2810556888580322,7.973825050087286,1.9950071601706085,1.1757207908454692,1.1524556469208158,1.248039649968024,0.905315395762263,0.871684929656653,0.7021347774063376,0.6473062745011535,0.5567547048219279,0.5219244213043553,0.42216119849436345,0.449657388232037
240,0,2.375726401805878e-06,3.1812732219696045,6.726609767509645,1.9795277201798436,0.9340669866267355,0.8452216344599285,0.9258823635380077,0.7667637236362862,0.7697367411467002,0.6138089658410666,0.5555226347016069,0.5133785940059505,0.4604191587292495,0.41669509895684814,0.3898447229851676
250,0,2.375726401805878e-06,2.885314464569092,7.651880288639047,1.8132362456610118,0.8958653004717115,0.8320025626451609,0.9514157633185205,0.860445991794752,0.985387664339491,0.7715459348429201,0.7522809917217607,0.7683210123054395,0.6656136969200649,0.5483924837848352,0.5087727049342434
260,0,2.375726401805878e-06,2.823791980743408,8.7042255532981,2.5999094288626186,1.4837071746771817,1.4427578718482306,1.4931419506211028,1.1484783795437967,1.1204213952419162,0.9125352593990895,0.7988811905078164,0.7163676311398111,0.644410790721466,0.5441979849556168,0.5347866320462065
270,0,2.375726401805878e-06,3.3375613689422607,6.020993478871165,1.3360740687464558,0.7507308853335279,0.8358384156280373,0.9459093568792845,0.773899558442681,0.7957411279474257,0.639997217456693,0.5909186303828574,0.5330222530524589,0.42358924338727266,0.36934319002547744,0.36207185609191334
280,0,2.375726401805878e-06,3.264889717102051,8.143736186731811,2.998484384843869,1.5342956019382843,1.56689656893255,1.5811574644171988,1.3002069645505734,1.2788616716656842,1.0063482646307524,0.9482508421347261,0.7497281610643411,0.675049508668503,0.6037420401714529,0.5204342423576702
290,0,2.375726401805878e-06,3.256556987762451,7.797248537984786,2.4799256021144966,1.1855009520949689,1.2767949807972667,1.424900320443549,1.0233061700146244,1.0293551385312352,0.7670279724492634,0.7170795400887785,0.5817190421914852,0.5165242191097079,0.46621884735240293,0.4729502454880444
300,0,2.375726401805878e-06,3.310507297515869,8.285106007063558,2.4477675284297793,1.247340404640363,1.2651871618384822,1.3781954419195666,1.1838420113159245,1.4045596376171239,0.9912335181982116,0.9182686070585775,0.8382163412372043,0.6821517431399055,0.5765657590265554,0.5533670765248717
310,0,2.375726401805878e-06,2.8988852500915527,7.934709534412992,2.0929483316640947,1.2695537315954821,1.3845429708050965,1.5964097328599496,1.1797524594043287,0.9796785217816832,0.6854394738121398,0.7540566449942242,0.6211302681668763,0.5567515874527269,0.4725959171973272,0.4576773778302554
320,0,2.375726401805878e-06,2.8485913276672363,7.1920902641091,2.8052638968258283,1.3834612148372867,1.1780894211336013,1.4102816375936758,1.1027963580964588,1.12328338615274,0.8326044573843683,0.7934267004616541,0.6483351333918917,0.5237270896328108,0.4855900950267412,0.44629816411470363
330,0,2.375726401805878e-06,2.8027026653289795,7.783044094193422,2.3613842507706493,1.2158585522279748,1.1785844887968706,1.26528086591277,1.0795442125185837,1.129971437608574,0.8965586886531857,0.8568317235947815,0.6883675638302402,0.5917453267245416,0.5305279822016206,0.49050217740471874
340,0,2.375726401805878e-06,3.317026138305664,6.401222514684725,1.6443372971890686,1.0733703040098357,1.087220867698959,1.1635809438941211,0.9507604943770197,0.8679575798845756,0.6841186429657738,0.6908394933884134,0.6483435273882819,0.5709511634618492,0.5035270100049457,0.4791516045835422
