step,epoch,lr,loss,grad_norm_global,grad_norm_encoder.blocks.0,grad_norm_encoder.blocks.1,grad_norm_encoder.blocks.2,grad_norm_encoder.blocks.3,grad_norm_encoder.blocks.4,grad_norm_encoder.blocks.5,grad_norm_encoder.blocks.6,grad_norm_encoder.blocks.7,grad_norm_encoder.blocks.8,grad_norm_encoder.blocks.9,grad_norm_encoder.blocks.10,grad_norm_encoder.blocks.11
1,0,1.979772001504898e-06,4.314362525939941,40.03689513147299,8.703950457254804,4.902081931007419,4.621447414557594,5.026287888956972,4.726598403780506,5.771697906595958,5.355607457798416,4.9916033404434765,5.212592088073281,4.271155823252067,4.386852911926575,4.876502418487894
2,0,1.979772001504898e-06,3.867682456970215,29.81867213850626,5.273083243071819,3.7513431332648133,3.5949933264268243,3.9513497628994054,3.807305954837062,4.646314198894082,4.400620241339599,4.345102706482009,4.455660781069884,3.674216108616619,4.097007489871833,4.342467893583586
3,0,1.979772001504898e-06,4.414827346801758,38.256104465714586,8.926143700729156,5.049937146809705,4.993109060108011,5.366813124398084,4.592684325372257,5.438044928370164,4.837810319070177,5.274538641777202,5.1981521447837995,4.587208145638596,4.104481330449251,3.8740435430095403
4,0,1.979772001504898e-06,4.094823360443115,28.696496071569033,5.171675542895814,3.2835347352001842,3.0211950781366443,3.2630490555249803,3.646241608135091,5.346807573957662,4.070216977058869,3.805696224155547,3.912404096948902,3.893515429069815,3.2788735180900948,3.9621218954626745
5,0,1.979772001504898e-06,3.9884862899780273,28.079645184612403,5.587364489489551,3.241850960526017,3.116208456817579,3.5014496029479703,3.419778006274991,3.833633399104696,3.6987625321801976,3.8860087538163945,3.8989995963765485,3.6249424142299724,3.475701700553923,3.8833476524469446
6,0,1.979772001504898e-06,4.119119644165039,28.75866733050181,4.670129602725431,3.294663867730453,3.2494186385170023,3.8732268630184308,3.477958501603489,4.0202125632475845,3.632361454483739,4.720858945566364,4.672441187839047,4.174520702741921,3.8965661832490226,3.89849911127565
7,0,1.979772001504898e-06,3.3858816623687744,28.018986329549143,5.599841283700123,3.342430995785454,3.4263439824100743,3.6739922209392946,3.2759751010661358,4.186255728922853,3.540379322043566,3.9218304478277646,4.032584456037833,3.9052896264993406,3.685167354644494,3.9227673939627317
8,0,1.979772001504898e-06,4.226226329803467,34.11959470519056,7.275331210623467,4.204875553970826,4.046756683625878,5.104574945489427,4.492149205407411,4.984201416480395,4.81360476246302,4.572014677924991,4.7636341611175546,5.014452622053224,4.540261375125344,4.9192453951487245
9,0,1.979772001504898e-06,3.6553120613098145,27.199056928071993,4.849461082005717,3.1993420439802267,3.3658881854415466,3.9388969968100107,3.3202350430008933,4.271399438109061,3.7663253785412976,3.6462025601816435,4.063298532919625,3.7679922052828325,3.6704732317425397,3.981626878698488
10,0,1.979772001504898e-06,4.264681816101074,34.208728857706674,6.718103482986108,3.118317025211367,2.9518864002242124,3.3831172246574295,3.304550676977659,3.558820282902417,3.7822262304653322,3.900212020711438,3.647392369459492,3.5112398777006657,4.039043871704153,4.251715847744195
