step,epoch,lr,loss,grad_norm_global,grad_norm_encoder.blocks.0,grad_norm_encoder.blocks.1,grad_norm_encoder.blocks.2,grad_norm_encoder.blocks.3,grad_norm_encoder.blocks.4,grad_norm_encoder.blocks.5,grad_norm_encoder.blocks.6,grad_norm_encoder.blocks.7,grad_norm_encoder.blocks.8,grad_norm_encoder.blocks.9,grad_norm_encoder.blocks.10,grad_norm_encoder.blocks.11,M_max_abs_encoder.blocks.0.attn_router,M_off_diag_mass_encoder.blocks.0.attn_router,M_max_abs_encoder.blocks.0.mlp_router,M_off_diag_mass_encoder.blocks.0.mlp_router,M_max_abs_encoder.blocks.1.attn_router,M_off_diag_mass_encoder.blocks.1.attn_router,M_max_abs_encoder.blocks.1.mlp_router,M_off_diag_mass_encoder.blocks.1.mlp_router,M_max_abs_encoder.blocks.2.attn_router,M_off_diag_mass_encoder.blocks.2.attn_router,M_max_abs_encoder.blocks.2.mlp_router,M_off_diag_mass_encoder.blocks.2.mlp_router,M_max_abs_encoder.blocks.3.attn_router,M_off_diag_mass_encoder.blocks.3.attn_router,M_max_abs_encoder.blocks.3.mlp_router,M_off_diag_mass_encoder.blocks.3.mlp_router,M_max_abs_encoder.blocks.4.attn_router,M_off_diag_mass_encoder.blocks.4.attn_router,M_max_abs_encoder.blocks.4.mlp_router,M_off_diag_mass_encoder.blocks.4.mlp_router,M_max_abs_encoder.blocks.5.attn_router,M_off_diag_mass_encoder.blocks.5.attn_router,M_max_abs_encoder.blocks.5.mlp_router,M_off_diag_mass_encoder.blocks.5.mlp_router,M_max_abs_encoder.blocks.6.attn_router,M_off_diag_mass_encoder.blocks.6.attn_router,M_max_abs_encoder.blocks.6.mlp_router,M_off_diag_mass_encoder.blocks.6.mlp_router,M_max_abs_encoder.blocks.7.attn_router,M_off_diag_mass_encoder.blocks.7.attn_router,M_max_abs_encoder.blocks.7.mlp_router,M_off_diag_mass_encoder.blocks.7.mlp_router,M_max_abs_encoder.blocks.8.attn_router,M_off_diag_mass_encoder.blocks.8.attn_router,M_max_abs_encoder.blocks.8.mlp_router,M_off_diag_mass_encoder.blocks.8.mlp_router,M_max_abs_encoder.blocks.9.attn_router,M_off_diag_mass_encoder.blocks.9.attn_router,M_max_abs_encoder.blocks.9.mlp_router,M_off_diag_mass_encoder.blocks.9.mlp_router,M_max_abs_encoder.blocks.10.attn_router,M_off_diag_mass_encoder.blocks.10.attn_router,M_max_abs_encoder.blocks.10.mlp_router,M_off_diag_mass_encoder.blocks.10.mlp_router,M_max_abs_encoder.blocks.11.attn_router,M_off_diag_mass_encoder.blocks.11.attn_router,M_max_abs_encoder.blocks.11.mlp_router,M_off_diag_mass_encoder.blocks.11.mlp_router
10,0,2.375726401805878e-06,4.147833824157715,7.6003114951819395,1.2115083004554392,0.7005057440063829,0.6689151979258812,0.7250107728773283,0.736107668379602,0.9087918841231236,0.88279850163656,0.8839950972221676,0.8543007096680251,0.9715811095874134,0.8930040881982237,0.9889117281021323,1.000466227531433,0.0010501198703423142,1.0001813173294067,0.0015128458617255092,0.9998646378517151,0.0012927536154165864,0.9999508261680603,0.0010819118469953537,1.000169038772583,0.0010626699076965451,0.9998587369918823,0.001110794022679329,1.000038981437683,0.0011446705320850015,0.9998065829277039,0.0008207334321923554,0.9999600052833557,0.00038051081355661154,1.000083327293396,0.000397471827454865,1.0002200603485107,0.0009592042770236731,0.9999542236328125,0.0007519054342992604,0.9999139904975891,0.0004670695634558797,1.000016689300537,0.0005027725710533559,1.000160574913025,0.0009671921725384891,1.0000771284103394,0.0009011790389195085,0.9999936819076538,0.0008939146064221859,1.000044822692871,0.0012234096648171544,1.0001347064971924,0.0008969485061243176,1.0002024173736572,0.0011831227457150817,1.0000245571136475,0.0008524484583176672,1.0000832080841064,0.0007678046822547913,1.0001193284988403,0.0009712439496070147,1.0001165866851807,0.001436021295376122
20,0,2.375726401805878e-06,3.777768135070801,7.471783392270879,1.0486252464615107,0.6063106392606877,0.5804556789585925,0.668184414070677,0.6791924123242943,0.9047644940256627,0.7408270672447633,0.7487493263353139,0.7964954768581696,0.9292094622351385,0.7628506247639376,0.8722430431404158,1.000630497932434,0.001422937959432602,1.0003585815429688,0.001998249674215913,0.999755322933197,0.0018133947160094976,0.9998395442962646,0.0014820736832916737,1.0001565217971802,0.0016649686731398106,0.9997978210449219,0.0014744630316272378,1.0000391006469727,0.00174269441049546,0.9997857809066772,0.001238055992871523,1.0001220703125,0.000864175905007869,1.0002561807632446,0.0010093735763803124,1.0003701448440552,0.0012846346944570541,1.0000561475753784,0.0011340964119881392,0.9999578595161438,0.000856952159665525,1.0001201629638672,0.0010799795854836702,1.0002689361572266,0.0016504848608747125,1.0001004934310913,0.0013971305452287197,0.9999613761901855,0.001467059482820332,1.0002694129943848,0.0021652206778526306,1.0003271102905273,0.0014954109210520983,1.0005371570587158,0.0018118424341082573,1.000153660774231,0.00144994689617306,1.0002233982086182,0.0012724283151328564,1.0002820491790771,0.0015185473021119833,1.0003734827041626,0.0023244048934429884
30,0,2.375726401805878e-06,3.162893295288086,7.101313784506465,1.0005051876748199,0.5766483103228413,0.5639847099644439,0.6502720284362478,0.5915768634875765,0.6770335511608566,0.6090114786840481,0.640265527979503,0.6365497957341151,0.6727406978975154,0.5981926908484427,0.6826377157488502,1.0008869171142578,0.0017781943315640092,1.0005621910095215,0.002409273060038686,0.999984860420227,0.0021458209957927465,1.0000832080841064,0.0017319443868473172,1.0004403591156006,0.001842218334786594,1.0000829696655273,0.0016326323384419084,1.0003718137741089,0.0023268903605639935,1.000167727470398,0.0019195204367861152,1.0005254745483398,0.0018192643765360117,1.0007365942001343,0.00218599964864552,1.0007882118225098,0.002085520885884762,1.000594139099121,0.0022330658975988626,1.0003635883331299,0.0018744479166343808,1.0006548166275024,0.0023561851121485233,1.000812292098999,0.0028961843345314264,1.0005989074707031,0.0027129335794597864,1.000451683998108,0.002586711896583438,1.0009634494781494,0.003358633490279317,1.000973105430603,0.0024716604966670275,1.0010709762573242,0.002850498538464308,1.0005756616592407,0.0023099668323993683,1.0003836154937744,0.0024038939736783504,1.000462532043457,0.0025459544267505407,1.0006171464920044,0.003147672861814499
40,0,2.375726401805878e-06,3.178345203399658,7.356378206362236,1.1183135159204598,0.5889610225065953,0.5501907823429091,0.5892880167001658,0.5753746451583565,0.7018581049234816,0.6223659099875101,0.6281941443901223,0.6490629501176437,0.6462434843607909,0.5894766157625781,0.6262779267347619,1.0012903213500977,0.0030587997753173113,1.0010321140289307,0.0027755708433687687,1.0002433061599731,0.002671133494004607,1.0003838539123535,0.0024171697441488504,1.0007450580596924,0.002552177757024765,1.000369668006897,0.0023122781421989202,1.000687837600708,0.0033726368565112352,1.0005911588668823,0.003068799152970314,1.0009434223175049,0.00301258428953588,1.001235842704773,0.0035483737010508776,1.0012311935424805,0.003168575232848525,1.0011475086212158,0.0034517317544668913,1.000901699066162,0.0031341256108134985,1.001209020614624,0.0037906377110630274,1.0013676881790161,0.004239229019731283,1.0011101961135864,0.004046416841447353,1.0009150505065918,0.0037475668359547853,1.0015788078308105,0.004625151865184307,1.0015695095062256,0.003560274373739958,1.0015748739242554,0.0037682675756514072,1.0010464191436768,0.0031113545410335064,1.0006389617919922,0.0026490266900509596,1.00042724609375,0.002537382300943136,1.0004942417144775,0.0027764004189521074
50,0,2.375726401805878e-06,3.6512575149536133,6.923680830439952,1.0467464403741245,0.5939876552859946,0.5668786299349848,0.624184114744617,0.5992320263252564,0.719847104134181,0.6581475825751617,0.6464553654545775,0.6442750173080095,0.6642222946422346,0.5958464618779156,0.604582959360791,1.0013641119003296,0.0036214881110936403,1.0012915134429932,0.0031465799547731876,1.0004113912582397,0.0029640349093824625,1.000606894493103,0.0026960985269397497,1.000905990600586,0.002673278795555234,1.0005391836166382,0.0025502534117549658,1.0007984638214111,0.0039516352117061615,1.0007805824279785,0.0038223452866077423,1.001096248626709,0.0036110193468630314,1.0015122890472412,0.004340980667620897,1.001414179801941,0.0037229210138320923,1.0015223026275635,0.004297270905226469,1.001244306564331,0.003924847114831209,1.0016067028045654,0.00482372147962451,1.0017410516738892,0.005376472137868404,1.0015047788619995,0.0053492202423512936,1.001278281211853,0.005092357750982046,1.002156376838684,0.006278175860643387,1.00211763381958,0.005258552730083466,1.0021858215332031,0.005507451947778463,1.0016217231750488,0.00470184488222003,1.0012325048446655,0.004136381670832634,1.00091552734375,0.0037313359789550304,1.0009933710098267,0.0040703644044697285
60,0,2.375726401805878e-06,2.9655327796936035,6.574054438611678,0.7792105362860605,0.47864598969971633,0.4661770450623095,0.5076953217221315,0.489086158300705,0.6022331520560467,0.5240676642611363,0.5528524792525563,0.5788491675138904,0.5347943233262856,0.5056569966370387,0.5061713147361446,1.0013103485107422,0.0030038210097700357,1.0013123750686646,0.003392036771401763,1.0002139806747437,0.0033903424628078938,1.0004290342330933,0.0032637277618050575,1.000736117362976,0.0033791805617511272,1.0003736019134521,0.0029949015006422997,1.0006301403045654,0.004143127240240574,1.000747561454773,0.004106117878109217,1.0010393857955933,0.003873585956171155,1.0015895366668701,0.004805843811482191,1.0014673471450806,0.004185968078672886,1.0017324686050415,0.005060619208961725,1.0014187097549438,0.004743981175124645,1.0018140077590942,0.005492272786796093,1.0019197463989258,0.006014324724674225,1.0017329454421997,0.005971937905997038,1.0014629364013672,0.005617182236164808,1.002314567565918,0.006743957754224539,1.0022704601287842,0.005841907113790512,1.0023106336593628,0.005943440832197666,1.0017465353012085,0.005074701737612486,1.0014138221740723,0.004501718562096357,1.0011069774627686,0.0040955208241939545,1.00111985206604,0.004416826646775007
70,0,2.375726401805878e-06,3.1312484741210938,5.30603183722024,0.931148847209644,0.4821053610278709,0.455688277119964,0.5157212521312938,0.4670383617974747,0.5321510919714952,0.4431915894034978,0.49675975396870603,0.4843892564348613,0.44725687644864975,0.4046721442396617,0.4190921588026899,1.0013725757598877,0.002803843468427658,1.0010857582092285,0.003681950271129608,1.0001732110977173,0.003838868113234639,1.0003594160079956,0.0036659343168139458,1.0006749629974365,0.0036848755553364754,1.0003176927566528,0.0030221303459256887,1.0005742311477661,0.003955591470003128,1.0006811618804932,0.003907850943505764,1.0010097026824951,0.003805403597652912,1.001617431640625,0.004997418262064457,1.0014599561691284,0.0043038418516516685,1.001887321472168,0.005464428104460239,1.0015569925308228,0.005194696132093668,1.0019943714141846,0.00601678853854537,1.0020573139190674,0.006434529088437557,1.0018612146377563,0.006260820664465427,1.0015519857406616,0.005729031283408403,1.0024300813674927,0.00693127466365695,1.0023725032806396,0.0059821754693984985,1.0023739337921143,0.0060609788633883,1.001708745956421,0.004791906103491783,1.0014389753341675,0.004242782015353441,1.0011767148971558,0.0037346016615629196,1.0009238719940186,0.0035831995774060488
80,0,2.375726401805878e-06,2.4705305099487305,5.833265485278796,0.7582777772368857,0.43497943235164527,0.4325546705871525,0.5645525317604885,0.4954908190686291,0.5934518776483758,0.5141874247173427,0.5214476028718548,0.5841286813884873,0.5145229200684898,0.4480728596082762,0.46711732352811886,1.0014134645462036,0.0028357759583741426,1.0011011362075806,0.004521154332906008,1.0003082752227783,0.00468430807814002,1.0005466938018799,0.004546163138002157,1.0008052587509155,0.00436326814815402,1.0005496740341187,0.0034422928001731634,1.000718355178833,0.004092443734407425,1.0008500814437866,0.003955434542149305,1.0011650323867798,0.003977915737777948,1.001832365989685,0.0053167566657066345,1.0016754865646362,0.004648445174098015,1.0020484924316406,0.005971371196210384,1.001703143119812,0.005654989276081324,1.0022145509719849,0.006600670516490936,1.0022867918014526,0.007075234781950712,1.0021425485610962,0.0070276339538395405,1.0017756223678589,0.006396446842700243,1.0026452541351318,0.007765680551528931,1.002597689628601,0.006762485019862652,1.0026161670684814,0.006974830757826567,1.001947283744812,0.00557304359972477,1.0017904043197632,0.005056400317698717,1.0014896392822266,0.004364741966128349,1.0010885000228882,0.0038614775985479355
90,0,2.375726401805878e-06,3.4470338821411133,6.86044165323935,1.1435250129487382,0.6474420140874338,0.6413690669048663,0.6996757814835327,0.5930794749145454,0.6431802053407356,0.5885509525502254,0.548316625202531,0.5114586327603697,0.5142177876484757,0.4412197851419027,0.5454479517698695,1.0013960599899292,0.0028373373206704855,1.001145839691162,0.004843719303607941,1.0002573728561401,0.004923009779304266,1.0005437135696411,0.004827386233955622,1.0008227825164795,0.004628013353794813,1.0005766153335571,0.0036767693236470222,1.0007827281951904,0.0044669765047729015,1.0010168552398682,0.004676158539950848,1.0013432502746582,0.004677341785281897,1.0021278858184814,0.006269422359764576,1.0019266605377197,0.005483317654579878,1.0024311542510986,0.007048430386930704,1.0020561218261719,0.00653058709576726,1.0025949478149414,0.007643695455044508,1.0026403665542603,0.00801236741244793,1.002511739730835,0.007984978146851063,1.0021291971206665,0.007264403160661459,1.00304114818573,0.00879450049251318,1.0029757022857666,0.007607333827763796,1.0029884576797485,0.008031618781387806,1.0022565126419067,0.006385356653481722,1.0019994974136353,0.005556419957429171,1.001651406288147,0.004770674742758274,1.0011329650878906,0.003990670666098595
100,0,2.375726401805878e-06,3.249772787094116,6.642352969118696,0.9709140944583777,0.629617110762957,0.6017311279236152,0.6367014105580469,0.585554731658224,0.6686443153157033,0.5921187752154943,0.6604693162098405,0.6359493613731807,0.5333409734443787,0.47248576922943264,0.5141731701200792,1.0015777349472046,0.00315574137493968,1.0012208223342896,0.004761784803122282,0.9999727606773376,0.004689410794526339,1.0003067255020142,0.004782062955200672,1.0005909204483032,0.004449660889804363,1.000408411026001,0.0038291902747005224,1.0005817413330078,0.004329589195549488,1.0009655952453613,0.0049242605455219746,1.001266598701477,0.004876710008829832,1.0022823810577393,0.006964169442653656,1.0020004510879517,0.006159232929348946,1.0026612281799316,0.00812432263046503,1.0022746324539185,0.007544100284576416,1.0029606819152832,0.008897599764168262,1.0029429197311401,0.009138090535998344,1.0028342008590698,0.009189076721668243,1.0024429559707642,0.008437390439212322,1.0033994913101196,0.010059555061161518,1.0033835172653198,0.008762107230722904,1.0034677982330322,0.00932348147034645,1.002698540687561,0.007475158199667931,1.0024800300598145,0.006540697067975998,1.0020679235458374,0.005522241350263357,1.0012544393539429,0.004090358503162861
