step,epoch,lr,loss,grad_norm_global,grad_norm_encoder.blocks.0,grad_norm_encoder.blocks.1,grad_norm_encoder.blocks.2,grad_norm_encoder.blocks.3,grad_norm_encoder.blocks.4,grad_norm_encoder.blocks.5,grad_norm_encoder.blocks.6,grad_norm_encoder.blocks.7,grad_norm_encoder.blocks.8,grad_norm_encoder.blocks.9,grad_norm_encoder.blocks.10,grad_norm_encoder.blocks.11,M_max_abs_encoder.blocks.0.attn_router,M_off_diag_mass_encoder.blocks.0.attn_router,M_max_abs_encoder.blocks.0.mlp_router,M_off_diag_mass_encoder.blocks.0.mlp_router,M_max_abs_encoder.blocks.1.attn_router,M_off_diag_mass_encoder.blocks.1.attn_router,M_max_abs_encoder.blocks.1.mlp_router,M_off_diag_mass_encoder.blocks.1.mlp_router,M_max_abs_encoder.blocks.2.attn_router,M_off_diag_mass_encoder.blocks.2.attn_router,M_max_abs_encoder.blocks.2.mlp_router,M_off_diag_mass_encoder.blocks.2.mlp_router,M_max_abs_encoder.blocks.3.attn_router,M_off_diag_mass_encoder.blocks.3.attn_router,M_max_abs_encoder.blocks.3.mlp_router,M_off_diag_mass_encoder.blocks.3.mlp_router,M_max_abs_encoder.blocks.4.attn_router,M_off_diag_mass_encoder.blocks.4.attn_router,M_max_abs_encoder.blocks.4.mlp_router,M_off_diag_mass_encoder.blocks.4.mlp_router,M_max_abs_encoder.blocks.5.attn_router,M_off_diag_mass_encoder.blocks.5.attn_router,M_max_abs_encoder.blocks.5.mlp_router,M_off_diag_mass_encoder.blocks.5.mlp_router,M_max_abs_encoder.blocks.6.attn_router,M_off_diag_mass_encoder.blocks.6.attn_router,M_max_abs_encoder.blocks.6.mlp_router,M_off_diag_mass_encoder.blocks.6.mlp_router,M_max_abs_encoder.blocks.7.attn_router,M_off_diag_mass_encoder.blocks.7.attn_router,M_max_abs_encoder.blocks.7.mlp_router,M_off_diag_mass_encoder.blocks.7.mlp_router,M_max_abs_encoder.blocks.8.attn_router,M_off_diag_mass_encoder.blocks.8.attn_router,M_max_abs_encoder.blocks.8.mlp_router,M_off_diag_mass_encoder.blocks.8.mlp_router,M_max_abs_encoder.blocks.9.attn_router,M_off_diag_mass_encoder.blocks.9.attn_router,M_max_abs_encoder.blocks.9.mlp_router,M_off_diag_mass_encoder.blocks.9.mlp_router,M_max_abs_encoder.blocks.10.attn_router,M_off_diag_mass_encoder.blocks.10.attn_router,M_max_abs_encoder.blocks.10.mlp_router,M_off_diag_mass_encoder.blocks.10.mlp_router,M_max_abs_encoder.blocks.11.attn_router,M_off_diag_mass_encoder.blocks.11.attn_router,M_max_abs_encoder.blocks.11.mlp_router,M_off_diag_mass_encoder.blocks.11.mlp_router
10,0,2.375726401805878e-06,2.7180347442626953,6.906339588213971,1.1844312235634973,0.7156146796006474,0.6975833498508199,0.8173484494194313,0.7858347528989573,0.918953803380986,0.8510039966977476,0.8158966229285698,0.8735946224062917,0.896664592783429,0.8161655128323456,0.8791845225488559,0.9998266696929932,0.0007145336712710559,0.9999499320983887,0.000476676708785817,0.9999840259552002,0.0007081519579514861,1.000040054321289,0.0004996375646442175,1.0000733137130737,0.0006418043049052358,1.0001219511032104,0.0004926883266307414,1.000142216682434,0.00046497007133439183,1.0001556873321533,0.0007350377854891121,1.000169038772583,0.0007378616137430072,1.0002849102020264,0.0012423418229445815,1.0001479387283325,0.0010702767176553607,1.000285029411316,0.0011266147485002875,1.0001637935638428,0.0009377062669955194,1.0003223419189453,0.0010441138874739408,1.0002654790878296,0.0010192948393523693,1.0003002882003784,0.0011496162042021751,1.0002822875976562,0.0012800664408132434,1.0006446838378906,0.0014857721980661154,1.0006382465362549,0.0013724014861509204,1.000618815422058,0.0012564569478854537,1.000545859336853,0.0012653464218601584,1.0005407333374023,0.0012131405528634787,1.0005704164505005,0.001132398028858006,1.0005251169204712,0.001108645461499691
20,0,2.375726401805878e-06,3.479688882827759,7.283033465397566,1.3273314887558378,0.7426763346215686,0.7115586487037421,0.8144841948527479,0.7356087480761623,0.7968388866730322,0.7408239213576172,0.8165409232089814,0.8651371031673464,0.7698916308559604,0.6980527950139679,0.7289145947677369,0.999952495098114,0.0009821769781410694,0.9999998211860657,0.00017355135059915483,1.00032639503479,0.001869962434284389,1.0003644227981567,0.0017114052316173911,1.0004719495773315,0.0020387195982038975,1.0005775690078735,0.0020290943793952465,1.000440239906311,0.0019374290714040399,1.0007001161575317,0.001972140045836568,1.0006191730499268,0.00197017565369606,1.0008809566497803,0.002588516566902399,1.0007132291793823,0.002118307165801525,1.0008519887924194,0.002537381835281849,1.0006799697875977,0.0023504458367824554,1.0008925199508667,0.0026832404546439648,1.0008360147476196,0.0026833764277398586,1.0008533000946045,0.0029882502276450396,1.0008236169815063,0.0031169578433036804,1.0013920068740845,0.0031606678385287523,1.0013670921325684,0.002937146695330739,1.0012925863265991,0.0030853876378387213,1.0012567043304443,0.0031734055373817682,1.0011370182037354,0.002944953739643097,1.0011969804763794,0.0028681252151727676,1.0009268522262573,0.0025131909642368555
30,0,2.375726401805878e-06,3.0242950916290283,6.678657524122697,0.9745008196556109,0.5414863265110352,0.5255745750525113,0.5907863660189923,0.5619854463537427,0.6600003493847255,0.569013114274848,0.5829792409131247,0.6206609961805969,0.5941423305485595,0.5695789409157785,0.5817494637002656,1.0003066062927246,0.0009334252099506557,1.0002126693725586,0.0008838580106385052,1.0005444288253784,0.002609046408906579,1.0006085634231567,0.002611859468743205,1.0007402896881104,0.003139851614832878,1.0009121894836426,0.003254919545724988,1.000728726387024,0.0033590691164135933,1.0011824369430542,0.0034896479919552803,1.0010735988616943,0.003558330936357379,1.0013813972473145,0.004159936681389809,1.00117027759552,0.003821829566732049,1.0014325380325317,0.004429135005921125,1.001301884651184,0.004261546768248081,1.0014411211013794,0.004663616884499788,1.0013811588287354,0.004716617055237293,1.0013890266418457,0.005071249790489674,1.0013689994812012,0.00518621364608407,1.001999855041504,0.005161983892321587,1.0019371509552002,0.0048872847110033035,1.0017516613006592,0.004776733927428722,1.0018157958984375,0.005008307751268148,1.0015074014663696,0.004467166028916836,1.0014901161193848,0.004224120173603296,1.0010071992874146,0.0037154615856707096
40,0,2.375726401805878e-06,3.682253837585449,6.161662396189585,0.9091379444154081,0.47432392036616255,0.4623164634324905,0.5304668684998272,0.4857214126849427,0.5625193519879423,0.49076236856177713,0.5410022036177365,0.5544301799741836,0.5474649973201028,0.519490477185739,0.5420043714258553,1.0004150867462158,0.0009416345856152475,1.0003362894058228,0.0012713612522929907,1.0005208253860474,0.0030626310035586357,1.0005956888198853,0.0031142160296440125,1.0007719993591309,0.004020124673843384,1.0010088682174683,0.004152289591729641,1.0008381605148315,0.0041930191218853,1.0014370679855347,0.004514408763498068,1.0013245344161987,0.004589779768139124,1.0017242431640625,0.005241310223937035,1.0014654397964478,0.004986762534826994,1.0018011331558228,0.005662732291966677,1.0016697645187378,0.00560676958411932,1.0017460584640503,0.006026622839272022,1.0016474723815918,0.006115008145570755,1.0017316341400146,0.006595617160201073,1.0017186403274536,0.006730816792696714,1.0023199319839478,0.00660447683185339,1.002285122871399,0.006409757770597935,1.0019866228103638,0.006241119001060724,1.0020673274993896,0.006498528644442558,1.0016762018203735,0.005960096139460802,1.0016260147094727,0.005879051983356476,1.0014744997024536,0.00529108289629221
50,0,2.375726401805878e-06,3.4153151512145996,6.392244324349758,0.8207888402241706,0.531263016536091,0.5129696601552596,0.5973774882777939,0.5285330420412997,0.6100455443836289,0.5613351308613029,0.5102204921730171,0.5048816851597858,0.5389367750665905,0.504537533247619,0.5334454721937567,1.000479817390442,0.001385561190545559,1.0001755952835083,0.0006178687908686697,1.000523328781128,0.0032983848359435797,1.0005940198898315,0.0032239865977317095,1.0007867813110352,0.00419987365603447,1.0010851621627808,0.004362193867564201,1.0008114576339722,0.004502324853092432,1.001684308052063,0.005003051832318306,1.001534342765808,0.005010457709431648,1.0020016431808472,0.00578734977170825,1.001719355583191,0.005525869783014059,1.0022226572036743,0.006441596895456314,1.0020418167114258,0.006355347111821175,1.0021052360534668,0.006816555745899677,1.0019429922103882,0.006909469608217478,1.0021421909332275,0.007548709399998188,1.002099871635437,0.007575460243970156,1.0027652978897095,0.007444617338478565,1.0027369260787964,0.007130423095077276,1.0024785995483398,0.0070282272063195705,1.002570390701294,0.007246687542647123,1.0020525455474854,0.006459574680775404,1.0019100904464722,0.006351066753268242,1.0014498233795166,0.0053955926559865475
60,0,2.375726401805878e-06,3.430964946746826,5.736591671964838,0.9943690288465451,0.6021923241473303,0.6367813624856997,0.7189513109055615,0.5785441433533656,0.6189437399742796,0.5333646848709308,0.5716120002846907,0.5533734525958417,0.5292038728793091,0.4755648256453302,0.5240479143512817,1.0005828142166138,0.0013905742671340704,1.0001978874206543,0.0006189544219523668,1.000440001487732,0.0029770557302981615,1.0005133152008057,0.0029862066730856895,1.0006442070007324,0.003760701045393944,1.0009404420852661,0.004130353219807148,1.0006928443908691,0.004385609645396471,1.00151789188385,0.005091217812150717,1.0013946294784546,0.005056405905634165,1.0019179582595825,0.006095379125326872,1.0016003847122192,0.005768200848251581,1.002428412437439,0.007095926441252232,1.0021467208862305,0.006833049468696117,1.002327561378479,0.007315566763281822,1.0021001100540161,0.007290422450751066,1.002393364906311,0.008068490773439407,1.002273678779602,0.007893283851444721,1.0030001401901245,0.0077309878543019295,1.0029494762420654,0.007279393263161182,1.002780556678772,0.007258135825395584,1.0028694868087769,0.007521814666688442,1.002171277999878,0.006424291525036097,1.0019177198410034,0.006209525279700756,1.0013878345489502,0.005429590120911598
70,0,2.375726401805878e-06,2.7718398571014404,5.054438312199205,0.8024531682407497,0.472020042702789,0.44788592468796556,0.4887638783037374,0.46337215206447585,0.5503311568041891,0.4759177712986941,0.4416236704908806,0.43202959025718995,0.4496731104328871,0.40090591367323447,0.4403237304791867,1.000581979751587,0.001784968888387084,1.0000771284103394,0.0001680523855611682,1.0003670454025269,0.0027967761270701885,1.0005009174346924,0.0028656076174229383,1.0005228519439697,0.0035657472908496857,1.0008571147918701,0.0039059920236468315,1.0005183219909668,0.0038987635634839535,1.0013686418533325,0.004758702125400305,1.0011968612670898,0.004614597652107477,1.0019121170043945,0.0059448606334626675,1.0014950037002563,0.005442055407911539,1.002665638923645,0.00733068585395813,1.0022960901260376,0.007032619323581457,1.0025913715362549,0.007485483773052692,1.0023037195205688,0.007450694218277931,1.0027086734771729,0.008399461396038532,1.0025408267974854,0.008106626570224762,1.0033248662948608,0.007955619134008884,1.0032570362091064,0.007409200072288513,1.0030032396316528,0.007375651504844427,1.0030920505523682,0.007701361086219549,1.0023328065872192,0.0064830780029296875,1.0020519495010376,0.006223395932465792,1.0013200044631958,0.005209709517657757
80,0,2.375726401805878e-06,3.5067222118377686,5.502858631646465,0.8009919450658479,0.5245333396389442,0.5149539481991774,0.5398412470766011,0.5226335736465894,0.5923243520462451,0.4839285931522783,0.4895018642587028,0.4895990147425926,0.4832772312247381,0.43702613258501977,0.4470238086469534,1.0007444620132446,0.002095590578392148,1.000022530555725,0.00048699701437726617,1.000237226486206,0.002656452124938369,1.0004045963287354,0.0026441265363246202,1.0003067255020142,0.0031783143058419228,1.0006681680679321,0.003423050744459033,1.0003224611282349,0.0033799444790929556,1.001207947731018,0.00425935722887516,1.0010054111480713,0.004223287105560303,1.0019475221633911,0.00583786703646183,1.0014334917068481,0.005252022296190262,1.002868413925171,0.007601260673254728,1.0024513006210327,0.0073199085891246796,1.0028823614120483,0.007911089807748795,1.0025631189346313,0.007982563227415085,1.0030491352081299,0.009093877859413624,1.002837061882019,0.008786014281213284,1.0036990642547607,0.008734948933124542,1.0036545991897583,0.008183015510439873,1.0032572746276855,0.008032098412513733,1.003353238105774,0.008421446196734905,1.0024930238723755,0.006979777477681637,1.0022127628326416,0.0066755726002156734,1.0013920068740845,0.005549607332795858
90,0,2.375726401805878e-06,3.289228916168213,7.2630011425680365,1.6113840848226826,1.107326910505122,1.0858278205491119,1.2202954832288098,1.0128850561983567,1.0679062078676262,0.8205034986064831,0.7919700611063788,0.7081296021545896,0.6406891092331415,0.5877968576592473,0.6368186708116491,1.0009770393371582,0.0022015904542058706,1.000036358833313,0.000612083647865802,1.0002211332321167,0.002354053547605872,1.000434398651123,0.0025902490597218275,1.0002394914627075,0.0028739317785948515,1.0006464719772339,0.0033015517983585596,1.0002423524856567,0.003131261095404625,1.0012474060058594,0.004201892297714949,1.0010277032852173,0.004087753593921661,1.0021497011184692,0.005952558014541864,1.0016058683395386,0.005396017339080572,1.0031282901763916,0.008157244883477688,1.0026533603668213,0.0077558960765600204,1.0031012296676636,0.008434372022747993,1.0027225017547607,0.00842504482716322,1.003245234489441,0.009606095030903816,1.0029938220977783,0.009177470579743385,1.0039944648742676,0.009441777132451534,1.0039467811584473,0.008771061897277832,1.0033533573150635,0.008505855686962605,1.0034116506576538,0.008853108622133732,1.002657413482666,0.0076851611956954,1.0023866891860962,0.007386685814708471,1.0016350746154785,0.006437109317630529
100,0,2.375726401805878e-06,3.6846375465393066,7.7209288429865905,1.5438923388538768,1.0153240148591407,1.0072577420460678,1.0536434696444015,0.8841745080144559,1.0240047768411178,0.7865993197640623,0.7478959002910385,0.7176817132849098,0.6163507305416658,0.5676387632168686,0.6173466262848389,1.0007636547088623,0.0015292565803974867,1.0003060102462769,0.001059985370375216,1.0004355907440186,0.0019464180804789066,1.0003674030303955,0.0028358325362205505,1.0004392862319946,0.002744642784819007,1.0004981756210327,0.0034271185286343098,1.000517725944519,0.0029471851885318756,1.0010361671447754,0.00416607316583395,1.0008043050765991,0.003964525181800127,1.002133846282959,0.006199161987751722,1.0016075372695923,0.0058412104845047,1.003218650817871,0.00884760171175003,1.0027313232421875,0.008382313884794712,1.003097653388977,0.008822853676974773,1.0026932954788208,0.008807915262877941,1.003312349319458,0.01012731809169054,1.0030440092086792,0.009744967333972454,1.0040947198867798,0.0101117929443717,1.0039823055267334,0.009410304948687553,1.0033764839172363,0.00925204437226057,1.0034849643707275,0.009647919796407223,1.003003716468811,0.009076599963009357,1.0027446746826172,0.008810389786958694,1.0020959377288818,0.008019110187888145
