167,2,0,7,1,5,0,1,0,1,21,0,1,0,1,0,1,0,3,0,1,0,7,0,1,1,0,0,4,0,1,1,1
5,336,0,5,7,2,0,1,0,0,1,8,1,0,3,0,0,0,0,0,3,4,9,3,8,8,0,0,1,1,0,9,2
1,0,103,0,1,0,0,0,2,0,1,0,1,0,0,0,4,0,0,0,4,0,53,0,1,1,0,0,2,4,0,0,0
3,2,0,235,1,2,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,24
0,4,2,1,143,3,3,7,0,3,1,3,0,0,0,0,1,3,2,2,3,1,11,5,15,5,0,0,1,7,5,3,1
2,1,0,1,1,116,1,0,4,0,3,18,0,1,5,1,0,0,0,10,0,1,1,2,2,7,0,0,1,3,12,2,2
0,1,0,0,2,0,134,7,0,5,0,4,0,0,3,0,0,0,8,9,1,0,1,2,0,0,1,0,3,0,0,1,1
0,0,0,0,4,0,1,182,0,3,0,1,0,0,1,0,0,0,3,4,3,0,0,7,0,2,1,0,0,1,0,0,0
0,0,2,1,2,16,0,0,214,3,0,4,0,0,4,0,0,7,1,3,0,0,1,3,31,1,0,0,0,12,5,1,0
0,0,0,0,1,10,2,1,1,235,0,36,0,0,35,0,0,1,1,3,0,0,2,0,2,2,0,0,3,9,13,1,1
7,0,0,2,1,3,0,0,0,4,243,3,0,0,5,0,0,0,1,4,1,0,3,0,0,4,0,0,23,0,17,4,7
0,5,0,0,1,2,0,1,4,35,2,65,0,0,37,0,0,0,3,6,0,3,1,4,0,4,0,0,3,0,15,7,1
0,0,1,0,1,1,0,0,0,0,1,0,241,12,0,7,1,0,0,0,2,0,6,0,2,1,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,11,56,0,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,7,0,0,0,2,1,1,4,5,0,39,0,0,118,0,0,0,4,11,2,2,2,3,1,5,0,0,5,0,8,6,2
1,0,0,0,0,2,0,0,0,0,0,0,8,5,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0
0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,54,0,1,0,0,0,0,0,0,0,0
0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,1,1,0,0,0,0,0,20,0,0,0
0,0,0,0,0,1,0,0,0,0,2,4,0,0,1,0,0,1,156,0,0,0,0,0,0,0,0,0,0,0,2,1,1
0,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,0,0,1,108,0,0,0,1,0,1,0,0,0,0,3,4,0
0,2,1,0,5,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,93,1,5,8,3,0,0,0,0,1,0,1,0
0,13,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,101,1,3,5,1,0,0,1,0,1,0,0
2,1,8,1,5,1,1,1,1,1,3,2,6,0,0,0,21,0,0,0,5,0,198,4,12,1,1,0,11,2,3,1,0
0,4,0,0,7,0,1,8,1,0,0,3,0,0,1,0,1,0,1,2,3,3,7,145,7,5,0,0,1,3,0,0,0
2,8,0,1,1,0,0,1,1,4,2,2,1,0,2,0,3,0,0,0,7,0,16,4,73,2,0,0,0,2,0,6,1
1,1,0,1,1,20,0,1,0,16,3,2,3,0,0,0,0,1,4,3,2,1,6,4,6,154,0,0,2,25,4,0,0
0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,19,0,1,33,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,2,0,0,0,3,8,5,0,0,2,1,0,0,0,1,1,0,8,0,0,2,0,0,198,0,3,3,0
0,1,1,0,3,4,0,0,0,1,0,1,0,0,1,0,0,25,0,1,0,0,2,1,1,1,0,0,0,137,2,2,0
0,0,0,1,1,5,0,0,1,10,4,18,0,0,6,5,0,0,1,1,0,1,1,0,1,1,0,0,2,0,325,6,1
0,6,0,11,0,0,0,0,1,3,18,8,0,0,6,0,0,0,1,1,0,1,3,1,3,1,0,0,1,4,4,227,12
1,1,0,16,0,0,0,0,0,2,4,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,11,172
